GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G10879455,S150526484,GJ-KU-BHA-009
G10877919,S150526602,GJ-KU-RAP-085
G10883419,S150526863,GJ-KU-RAP-047
G10878242,S150527029,GJ-KU-BHU-152
G10878090,S150527058,GJ-KU-GAN-001
G11248124,S150527108,GJ-KU-RAN-542
G10889810,S150527137,GJ-KU-RAN-323
G10886449,S150527344,GJ-KU-LAK-031
G10880671,S150527680,GJ-KU-LAK-052
G10878133,S150529538,GJ-KU-RAP-077
G10883415,S150529963,GJ-KU-LIT-014
G10886452,S150530098,GJ-KU-LAK-055
G10878159,S150530158,GJ-KU-MUN-007
G11248123,S150530356,GJ-KU-RAP-042
G10878244,S150531092,GJ-KU-BHU-161
G10878602,S150531137,GJ-KU-ANJ-013
G10879245,S150531768,GJ-KU-BHU-053
G11190401,S150531803,GJ-KU-BHU-055
G10878343,S150532045,GJ-KU-MUN-008
G11248117,S150532122,GJ-KU-BHU-104
G10880468,S150532325,GJ-KU-ABD-065
G10880467,S150532385,GJ-KU-ABD-054
G10878340,S150533197,GJ-KU-ABD-060
G10878365,S150533507,GJ-KU-ABD-062
G10878366,S150533517,GJ-KU-ABD-072
G10878605,S150533571,GJ-KU-ANJ-011
G10910222,S150534307,GJ-KU-LIT-023
G10878603,S150535031,GJ-KU-ANJ-008
G10879338,S150535457,GJ-KU-MUN-023
G10878490,S150535465,GJ-KU-MAN-021
G10878491,S150535956,GJ-KU-MAN-013
G10878507,S150536431,GJ-KU-BHA-036
G10878489,S150536596,GJ-KU-MAN-043
G10878534,S150536738,GJ-KU-BHA-028
G10879637,S150537073,GJ-KU-BHA-032
G10883411,S150538952,GJ-KU-RAP-082
G10886451,S150539103,GJ-KU-LAK-044
G10884192,S150539921,GJ-KU-NAK-007
G10879086,S150539994,GJ-KU-BHU-168
G10878727,S150540018,GJ-KU-RAP-089
G10878756,S150540635,GJ-KU-LAK-015
G10879388,S150543472,GJ-KU-ANJ-001
G10879087,S150546015,GJ-KU-MUN-003
G10880464,S150550510,GJ-KU-NAK-057
G10880463,S150551133,GJ-KU-NAK-063
G10879172,S150551207,GJ-KU-ABD-070
G10879173,S150551220,GJ-KU-ABD-079
G10879453,S150552927,GJ-KU-BHA-011
G11190399,S150553229,GJ-KU-NAK-014
G10879452,S150553559,GJ-KU-BHA-005
G10879335,S150554005,GJ-KU-GAN-004
G10884446,S150565996,GJ-KU-ABD-021
G10879999,S150566302,GJ-KU-NAK-046
G10884445,S150566356,GJ-KU-ABD-013
G10884444,S150566712,GJ-KU-ABD-023
G10880004,S150566796,GJ-KU-NAK-034
G10884443,S150567309,GJ-KU-ABD-044
G10879997,S150568160,GJ-KU-NAK-023
G10880028,S150568490,GJ-KU-NAK-036
G10880018,S150568571,GJ-KU-NAK-043
G10880025,S150568624,GJ-KU-NAK-048
G10880284,S150571885,GJ-KU-MAN-048
G10911571,S150574495,GJ-KU-BHU-097
G10880548,S150575956,GJ-KU-BHU-111
G10880557,S150576270,GJ-KU-BHU-120
G10882639,S150605491,GJ-KU-BHA-073
G10882646,S150605607,GJ-KU-BHA-058
G10889809,S150606250,GJ-KU-RAN-270
G10889808,S150606485,GJ-KU-RAN-324
G10884078,S150609033,GJ-KU-BHU-145
G10883408,S150610821,GJ-KU-LIT-031
G11248115,S150611111,GJ-KU-BHU-128
G10889807,S150612925,GJ-KU-BHU-001
G10890985,S150613235,GJ-KU-BHU-024
G10883859,S150613525,GJ-KU-ABD-067
G10883858,S150613578,GJ-KU-NAK-060
G10883732,S150614330,GJ-KU-RAP-099
G10886450,S150614358,GJ-KU-LAK-046
G10883962,S150614413,GJ-KU-NAK-003
